,Track Name,Artist(s) Name,Album Name,Release Year,Streams (Cumulative),Colour
0,Enchanted,Taylor Swift,Speak Now,2010,621660989,blueviolet
1,Blank Space,Taylor Swift,1989,2014,1355959075,deepskyblue
2,Style,Taylor Swift,1989,2014,786181836,deepskyblue
3,Shake It Off,Taylor Swift,1989,2014,1113838873,deepskyblue
4,Don't Blame Me,Taylor Swift,reputation,2017,685032533,black
5,Cruel Summer,Taylor Swift,Lover,2019,800840817,hotpink
6,Lover,Taylor Swift,Lover,2019,882831184,hotpink
7,All Of The Girls You Loved Before,Taylor Swift,Unknown,2019,185240616,white
8,cardigan,Taylor Swift,folklore,2020,812019557,slategray
9,august,Taylor Swift,folklore,2020,607123776,slategray
10,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021,583687007,red
11,You Belong With Me (Taylor's Version),Taylor Swift,Fearless (Taylor's Version),2021,350381515,gold
12,Maroon,Taylor Swift,Midnights,2022,317726339,mediumblue
13,Bejeweled,Taylor Swift,Midnights,2022,328207708,mediumblue
14,The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",Unknown,2022,146789379,white
15,This Love (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2022,132171975,deepskyblue
16,Vigilante Shit,Taylor Swift,Midnights,2022,253650850,mediumblue
17,Mastermind,Taylor Swift,Midnights,2022,218320587,mediumblue
18,Labyrinth,Taylor Swift,Midnights,2022,187339835,mediumblue
19,Sweet Nothing,Taylor Swift,Midnights,2022,186104310,mediumblue
20,"Would've, Could've, Should've",Taylor Swift,Midnights (3am Edition),2022,177503916,midnightblue
21,Question...?,Taylor Swift,Midnights,2022,223064273,mediumblue
22,Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",Midnights,2022,323437194,mediumblue
23,Bigger Than The Whole Sky,Taylor Swift,Midnights (3am Edition),2022,121871870,midnightblue
24,Midnight Rain,Taylor Swift,Midnights,2022,433356509,mediumblue
25,Lavender Haze,Taylor Swift,Midnights,2022,488386797,mediumblue
26,The Great War,Taylor Swift,Midnights (3am Edition),2022,181382590,midnightblue
27,Karma,Taylor Swift,Midnights,2022,404562836,mediumblue
28,Anti-Hero,Taylor Swift,Midnights,2022,999748277,mediumblue
29,"You're On Your Own, Kid",Taylor Swift,Midnights,2022,348647203,mediumblue
30,Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",Midnights (The Til Dawn Edition),2023,60350538,navy
31,Hits Different,Taylor Swift,Midnights (The Til Dawn Edition),2023,68616963,navy
32,Better Than Revenge (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023,30343206,blueviolet
33,Mine (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023,36912123,blueviolet
34,Back To December (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023,39228929,blueviolet
35,Enchanted (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023,39578178,blueviolet
36,I Can See You (Taylor's Version) (From The Vault),Taylor Swift,Speak Now (Taylor's Version),2023,52135248,blueviolet
37,Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",Midnights (The Til Dawn Edition),2023,46142772,navy
